AI.species.i.,yrs,ymeans,yn,ysd,yse
21720,1986,0.004982868,879,0.102195659,0.003446974
21720,1991,0.039092673,611,0.092125615,0.003727003
21720,1994,0.030208446,1066,0.097603471,0.002989418
21720,1997,-0.000971617,702,0.086441695,0.003262532
21720,2000,-0.006736534,782,0.091771737,0.003281751
21720,2002,0.000257054,1237,0.095479113,0.002714711
21720,2004,0.009613993,765,0.096845315,0.00350145
21720,2006,-0.009373488,757,0.098306765,0.00357302
21720,2010,0.016653331,678,0.096398077,0.003702146
21720,2012,-0.009289015,595,0.098393933,0.004033758
21720,2014,-0.021549547,550,0.090628086,0.003864395
21720,2016,-0.035925108,733,0.095139185,0.003514046
21720,2018,-0.038824164,584,0.093173052,0.003855528
